C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
A002,R051,02-00-00,05-21-11,00:00.00,REGULAR,003169391,001097585
A002,R051,02-00-00,05-21-11,04:00.00,REGULAR,003169415,001097588
